No;X1 transaction date;X2 house age;X3 distance to the nearest MRT station;X4 number of convenience stores;X5 latitude;X6 longitude;Y house price of unit area
1;04/07/1905;32;84,87882;10;24,98298;121,54024;37,9
2;04/07/1905;19,5;306,5947;9;24,98034;121,53951;42,2
3;05/07/1905;13,3;561,9845;5;24,98746;121,54391;47,3
4;06/07/1905;13,3;561,9845;5;24,98746;121,54391;54,8
5;07/07/1905;5;390,5684;5;24,97937;121,54245;43,1
6;08/07/1905;7,1;2175,03;3;24,96305;121,51254;32,1
7;09/07/1905;34,5;623,4731;7;24,97933;121,53642;40,3
8;10/07/1905;20,3;287,6025;6;24,98042;121,54228;46,7
9;11/07/1905;31,7;5512,038;1;24,95095;121,48458;18,8
10;12/07/1905;17,9;1783,18;3;24,96731;121,51486;22,1
11;13/07/1905;34,8;405,2134;1;24,97349;121,53372;41,4
12;14/07/1905;6,3;90,45606;9;24,97433;121,5431;58,1
13;15/07/1905;13;492,2313;5;24,96515;121,53737;39,3
14;16/07/1905;20,4;2469,645;4;24,96108;121,51046;23,8
15;17/07/1905;13,2;1164,838;4;24,99156;121,53406;34,3
16;18/07/1905;35,7;579,2083;2;24,9824;121,54619;50,5
17;19/07/1905;0;292,9978;6;24,97744;121,54458;70,1
18;20/07/1905;17,7;350,8515;1;24,97544;121,53119;37,4
19;21/07/1905;16,9;368,1363;8;24,9675;121,54451;42,3
20;22/07/1905;1,5;23,38284;7;24,96772;121,54102;47,7
21;23/07/1905;4,5;2275,877;3;24,96314;121,51151;29,3
22;24/07/1905;10,5;279,1726;7;24,97528;121,54541;51,6
23;25/07/1905;14,7;1360,139;1;24,95204;121,54842;24,6
24;26/07/1905;10,1;279,1726;7;24,97528;121,54541;47,9
25;27/07/1905;39,6;480,6977;4;24,97353;121,53885;38,8
26;28/07/1905;29,3;1487,868;2;24,97542;121,51726;27
27;29/07/1905;3,1;383,8624;5;24,98085;121,54391;56,2
28;30/07/1905;10,4;276,449;5;24,95593;121,53913;33,6
29;31/07/1905;19,2;557,478;4;24,97419;121,53797;47
30;01/08/1905;7,1;451,2438;5;24,97563;121,54694;57,1
31;02/08/1905;25,9;4519,69;0;24,94826;121,49587;22,1
32;03/08/1905;29,6;769,4034;7;24,98281;121,53408;25
33;04/08/1905;37,9;488,5727;1;24,97349;121,53451;34,2
34;05/08/1905;16,5;323,655;6;24,97841;121,54281;49,3
35;06/08/1905;15,4;205,367;7;24,98419;121,54243;55,1
36;07/08/1905;13,9;4079,418;0;25,01459;121,51816;27,3
37;08/08/1905;14,7;1935,009;2;24,96386;121,51458;22,9
38;09/08/1905;12;1360,139;1;24,95204;121,54842;25,3
39;10/08/1905;3,1;577,9615;6;24,97201;121,54722;47,7
40;11/08/1905;16,2;289,3248;5;24,98203;121,54348;46,2
41;12/08/1905;13,6;4082,015;0;24,94155;121,50381;15,9
42;13/08/1905;16,8;4066,587;0;24,94297;121,50342;18,2
43;14/08/1905;36,1;519,4617;5;24,96305;121,53758;34,7
44;15/08/1905;34,4;512,7871;6;24,98748;121,54301;34,1
45;16/08/1905;2,7;533,4762;4;24,97445;121,54765;53,9
46;17/08/1905;36,6;488,8193;8;24,97015;121,54494;38,3
47;18/08/1905;21,7;463,9623;9;24,9703;121,54458;42
48;19/08/1905;35,9;640,7391;3;24,97563;121,53715;61,5
49;20/08/1905;24,2;4605,749;0;24,94684;121,49578;13,4
50;21/08/1905;29,4;4510,359;1;24,94925;121,49542;13,2
51;22/08/1905;21,7;512,5487;4;24,974;121,53842;44,2
52;23/08/1905;31,3;1758,406;1;24,95402;121,55282;20,7
53;24/08/1905;32,1;1438,579;3;24,97419;121,5175;27
54;25/08/1905;13,3;492,2313;5;24,96515;121,53737;38,9
55;26/08/1905;16,1;289,3248;5;24,98203;121,54348;51,7
56;27/08/1905;31,7;1160,632;0;24,94968;121,53009;13,7
57;28/08/1905;33,6;371,2495;8;24,97254;121,54059;41,9
58;29/08/1905;3,5;56,47425;7;24,95744;121,53711;53,5
59;30/08/1905;30,3;4510,359;1;24,94925;121,49542;22,6
60;31/08/1905;13,3;336,0532;5;24,95776;121,53438;42,4
61;01/09/1905;11;1931,207;2;24,96365;121,51471;21,3
62;02/09/1905;5,3;259,6607;6;24,97585;121,54516;63,2
63;03/09/1905;17,2;2175,877;3;24,96303;121,51254;27,7
64;04/09/1905;2,6;533,4762;4;24,97445;121,54765;55
65;05/09/1905;17,5;995,7554;0;24,96305;121,54915;25,3
66;06/09/1905;40,1;123,7429;8;24,97635;121,54329;44,3
67;07/09/1905;1;193,5845;6;24,96571;121,54089;50,7
68;08/09/1905;8,5;104,8101;5;24,96674;121,54067;56,8
69;09/09/1905;30,4;464,223;6;24,97964;121,53805;36,2
70;10/09/1905;12,5;561,9845;5;24,98746;121,54391;42
71;11/09/1905;6,6;90,45606;9;24,97433;121,5431;59
72;12/09/1905;35,5;640,7391;3;24,97563;121,53715;40,8
73;13/09/1905;32,5;424,5442;8;24,97587;121,53913;36,3
74;14/09/1905;13,8;4082,015;0;24,94155;121,50381;20
75;15/09/1905;6,8;379,5575;10;24,98343;121,53762;54,4
76;16/09/1905;12,3;1360,139;1;24,95204;121,54842;29,5
77;17/09/1905;35,9;616,4004;3;24,97723;121,53767;36,8
78;18/09/1905;20,5;2185,128;3;24,96322;121,51237;25,6
79;19/09/1905;38,2;552,4371;2;24,97598;121,53381;29,8
80;20/09/1905;18;1414,837;1;24,95182;121,54887;26,5
81;21/09/1905;11,8;533,4762;4;24,97445;121,54765;40,3
82;22/09/1905;30,8;377,7956;6;24,96427;121,53964;36,8
83;23/09/1905;13,2;150,9347;7;24,96725;121,54252;48,1
84;24/09/1905;25,3;2707,392;3;24,96056;121,50831;17,7
85;25/09/1905;15,1;383,2805;7;24,96735;121,54464;43,7
86;26/09/1905;0;338,9679;9;24,96853;121,54413;50,8
87;27/09/1905;1,8;1455,798;1;24,9512;121,549;27
88;28/09/1905;16,9;4066,587;0;24,94297;121,50342;18,3
89;29/09/1905;8,9;1406,43;0;24,98573;121,52758;48
90;30/09/1905;23;3947,945;0;24,94783;121,50243;25,3
91;01/10/1905;0;274,0144;1;24,9748;121,53059;45,4
92;02/10/1905;9,1;1402,016;0;24,98569;121,5276;43,2
93;03/10/1905;20,6;2469,645;4;24,96108;121,51046;21,8
94;04/10/1905;31,9;1146,329;0;24,9492;121,53076;16,1
95;05/10/1905;40,9;167,5989;5;24,9663;121,54026;41
96;06/10/1905;8;104,8101;5;24,96674;121,54067;51,8
97;07/10/1905;6,4;90,45606;9;24,97433;121,5431;59,5
98;08/10/1905;28,4;617,4424;3;24,97746;121,53299;34,6
99;09/10/1905;16,4;289,3248;5;24,98203;121,54348;51
100;10/10/1905;6,4;90,45606;9;24,97433;121,5431;62,2
101;11/10/1905;17,5;964,7496;4;24,98872;121,53411;38,2
102;12/10/1905;12,7;170,1289;1;24,97371;121,52984;32,9
103;13/10/1905;1,1;193,5845;6;24,96571;121,54089;54,4
104;14/10/1905;0;208,3905;6;24,95618;121,53844;45,7
105;15/10/1905;32,7;392,4459;6;24,96398;121,5425;30,5
106;16/10/1905;0;292,9978;6;24,97744;121,54458;71
107;17/10/1905;17,2;189,5181;8;24,97707;121,54308;47,1
108;18/10/1905;12,2;1360,139;1;24,95204;121,54842;26,6
109;19/10/1905;31,4;592,5006;2;24,9726;121,53561;34,1
110;20/10/1905;4;2147,376;3;24,96299;121,51284;28,4
111;21/10/1905;8,1;104,8101;5;24,96674;121,54067;51,6
112;22/10/1905;33,3;196,6172;7;24,97701;121,54224;39,4
113;23/10/1905;9,9;2102,427;3;24,96044;121,51462;23,1
114;24/10/1905;14,8;393,2606;6;24,96172;121,53812;7,6
115;25/10/1905;30,6;143,8383;8;24,98155;121,54142;53,3
116;26/10/1905;20,6;737,9161;2;24,98092;121,54739;46,4
117;27/10/1905;30,9;6396,283;1;24,94375;121,47883;12,2
118;28/10/1905;13,6;4197,349;0;24,93885;121,50383;13
119;29/10/1905;25,3;1583,722;3;24,96622;121,51709;30,6
120;30/10/1905;16,6;289,3248;5;24,98203;121,54348;59,6
121;31/10/1905;13,3;492,2313;5;24,96515;121,53737;31,3
122;01/11/1905;13,6;492,2313;5;24,96515;121,53737;48
123;02/11/1905;31,5;414,9476;4;24,98199;121,54464;32,5
124;03/11/1905;0;185,4296;0;24,9711;121,5317;45,5
125;04/11/1905;9,9;279,1726;7;24,97528;121,54541;57,4
126;05/11/1905;1,1;193,5845;6;24,96571;121,54089;48,6
127;06/11/1905;38,6;804,6897;4;24,97838;121,53477;62,9
128;07/11/1905;3,8;383,8624;5;24,98085;121,54391;55
129;08/11/1905;41,3;124,9912;6;24,96674;121,54039;60,7
130;09/11/1905;38,5;216,8329;7;24,98086;121,54162;41
131;10/11/1905;29,6;535,527;8;24,98092;121,53653;37,5
132;11/11/1905;4;2147,376;3;24,96299;121,51284;30,7
133;12/11/1905;26,6;482,7581;5;24,97433;121,53863;37,5
134;13/11/1905;18;373,3937;8;24,9866;121,54082;39,5
135;14/11/1905;33,4;186,9686;6;24,96604;121,54211;42,2
136;15/11/1905;18,9;1009,235;0;24,96357;121,54951;20,8
137;16/11/1905;11,4;390,5684;5;24,97937;121,54245;46,8
138;17/11/1905;13,6;319,0708;6;24,96495;121,54277;47,4
139;18/11/1905;10;942,4664;0;24,97843;121,52406;43,5
140;19/11/1905;12,9;492,2313;5;24,96515;121,53737;42,5
141;20/11/1905;16,2;289,3248;5;24,98203;121,54348;51,4
142;21/11/1905;5,1;1559,827;3;24,97213;121,51627;28,9
143;22/11/1905;19,8;640,6071;5;24,97017;121,54647;37,5
144;23/11/1905;13,6;492,2313;5;24,96515;121,53737;40,1
145;24/11/1905;11,9;1360,139;1;24,95204;121,54842;28,4
146;25/11/1905;2,1;451,2438;5;24,97563;121,54694;45,5
147;26/11/1905;0;185,4296;0;24,9711;121,5317;52,2
148;27/11/1905;3,2;489,8821;8;24,97017;121,54494;43,2
149;28/11/1905;16,4;3780,59;0;24,93293;121,51203;45,1
150;29/11/1905;34,9;179,4538;8;24,97349;121,54245;39,7
151;30/11/1905;35,8;170,7311;7;24,96719;121,54269;48,5
152;01/12/1905;4,9;387,7721;9;24,98118;121,53788;44,7
153;02/12/1905;12;1360,139;1;24,95204;121,54842;28,9
154;03/12/1905;6,5;376,1709;6;24,95418;121,53713;40,9
155;04/12/1905;16,9;4066,587;0;24,94297;121,50342;20,7
156;05/12/1905;13,8;4082,015;0;24,94155;121,50381;15,6
157;06/12/1905;30,7;1264,73;0;24,94883;121,52954;18,3
158;07/12/1905;16,1;815,9314;4;24,97886;121,53464;35,6
159;08/12/1905;11,6;390,5684;5;24,97937;121,54245;39,4
160;09/12/1905;15,5;815,9314;4;24,97886;121,53464;37,4
161;10/12/1905;3,5;49,66105;8;24,95836;121,53756;57,8
162;11/12/1905;19,2;616,4004;3;24,97723;121,53767;39,6
163;12/12/1905;16;4066,587;0;24,94297;121,50342;11,6
164;13/12/1905;8,5;104,8101;5;24,96674;121,54067;55,5
165;14/12/1905;0;185,4296;0;24,9711;121,5317;55,2
166;15/12/1905;13,7;1236,564;1;24,97694;121,55391;30,6
167;16/12/1905;0;292,9978;6;24,97744;121,54458;73,6
168;17/12/1905;28,2;330,0854;8;24,97408;121,54011;43,4
169;18/12/1905;27,6;515,1122;5;24,96299;121,5432;37,4
170;19/12/1905;8,4;1962,628;1;24,95468;121,55481;23,5
171;20/12/1905;24;4527,687;0;24,94741;121,49628;14,4
172;21/12/1905;3,6;383,8624;5;24,98085;121,54391;58,8
173;22/12/1905;6,6;90,45606;9;24,97433;121,5431;58,1
174;23/12/1905;41,3;401,8807;4;24,98326;121,5446;35,1
175;24/12/1905;4,3;432,0385;7;24,9805;121,53778;45,2
176;25/12/1905;30,2;472,1745;3;24,97005;121,53758;36,5
177;26/12/1905;13,9;4573,779;0;24,94867;121,49507;19,2
178;27/12/1905;33;181,0766;9;24,97697;121,54262;42
179;28/12/1905;13,1;1144,436;4;24,99176;121,53456;36,7
180;29/12/1905;14;438,8513;1;24,97493;121,5273;42,6
181;30/12/1905;26,9;4449,27;0;24,94898;121,49621;15,5
182;31/12/1905;11,6;201,8939;8;24,98489;121,54121;55,9
183;01/01/1906;13,5;2147,376;3;24,96299;121,51284;23,6
184;02/01/1906;17;4082,015;0;24,94155;121,50381;18,8
185;03/01/1906;14,1;2615,465;0;24,95495;121,56174;21,8
186;04/01/1906;31,4;1447,286;3;24,97285;121,5173;21,5
187;05/01/1906;20,9;2185,128;3;24,96322;121,51237;25,7
188;06/01/1906;8,9;3078,176;0;24,95464;121,56627;22
189;07/01/1906;34,8;190,0392;8;24,97707;121,54312;44,3
190;08/01/1906;16,3;4066,587;0;24,94297;121,50342;20,5
191;09/01/1906;35,3;616,5735;8;24,97945;121,53642;42,3
192;10/01/1906;13,2;750,0704;2;24,97371;121,54951;37,8
193;11/01/1906;43,8;57,58945;7;24,9675;121,54069;42,7
194;12/01/1906;9,7;421,479;5;24,98246;121,54477;49,3
195;13/01/1906;15,2;3771,895;0;24,93363;121,51158;29,3
196;14/01/1906;15,2;461,1016;5;24,95425;121,5399;34,6
197;15/01/1906;22,8;707,9067;2;24,981;121,54713;36,6
198;16/01/1906;34,4;126,7286;8;24,96881;121,54089;48,2
199;17/01/1906;34;157,6052;7;24,96628;121,54196;39,1
200;18/01/1906;18,2;451,6419;8;24,96945;121,5449;31,6
201;19/01/1906;17,4;995,7554;0;24,96305;121,54915;25,5
202;20/01/1906;13,1;561,9845;5;24,98746;121,54391;45,9
203;21/01/1906;38,3;642,6985;3;24,97559;121,53713;31,5
204;22/01/1906;15,6;289,3248;5;24,98203;121,54348;46,1
205;23/01/1906;18;1414,837;1;24,95182;121,54887;26,6
206;24/01/1906;12,8;1449,722;3;24,97289;121,51728;21,4
207;25/01/1906;22,2;379,5575;10;24,98343;121,53762;44
208;26/01/1906;38,5;665,0636;3;24,97503;121,53692;34,2
209;27/01/1906;11,5;1360,139;1;24,95204;121,54842;26,2
210;28/01/1906;34,8;175,6294;8;24,97347;121,54271;40,9
211;29/01/1906;5,2;390,5684;5;24,97937;121,54245;52,2
212;30/01/1906;0;274,0144;1;24,9748;121,53059;43,5
213;31/01/1906;17,6;1805,665;2;24,98672;121,52091;31,1
214;01/02/1906;6,2;90,45606;9;24,97433;121,5431;58
215;02/02/1906;18,1;1783,18;3;24,96731;121,51486;20,9
216;03/02/1906;19,2;383,7129;8;24,972;121,54477;48,1
217;04/02/1906;37,8;590,9292;1;24,97153;121,53559;39,7
218;05/02/1906;28;372,6242;6;24,97838;121,54119;40,8
219;06/02/1906;13,6;492,2313;5;24,96515;121,53737;43,8
220;07/02/1906;29,3;529,7771;8;24,98102;121,53655;40,2
221;08/02/1906;37,2;186,5101;9;24,97703;121,54265;78,3
222;09/02/1906;9;1402,016;0;24,98569;121,5276;38,5
223;10/02/1906;30,6;431,1114;10;24,98123;121,53743;48,5
224;11/02/1906;9,1;1402,016;0;24,98569;121,5276;42,3
225;12/02/1906;34,5;324,9419;6;24,97814;121,5417;46
226;13/02/1906;1,1;193,5845;6;24,96571;121,54089;49
227;14/02/1906;16,5;4082,015;0;24,94155;121,50381;12,8
228;15/02/1906;32,4;265,0609;8;24,98059;121,53986;40,2
229;16/02/1906;11,9;3171,329;0;25,00115;121,51776;46,6
230;17/02/1906;31;1156,412;0;24,9489;121,53095;19
231;18/02/1906;4;2147,376;3;24,96299;121,51284;33,4
232;19/02/1906;16,2;4074,736;0;24,94235;121,50357;14,7
233;20/02/1906;27,1;4412,765;1;24,95032;121,49587;17,4
234;21/02/1906;39,7;333,3679;9;24,98016;121,53932;32,4
235;22/02/1906;8;2216,612;4;24,96007;121,51361;23,9
236;23/02/1906;12,9;250,631;7;24,96606;121,54297;39,3
237;24/02/1906;3,6;373,8389;10;24,98322;121,53765;61,9
238;25/02/1906;13;732,8528;0;24,97668;121,52518;39
239;26/02/1906;12,8;732,8528;0;24,97668;121,52518;40,6
240;27/02/1906;18,1;837,7233;0;24,96334;121,54767;29,7
241;28/02/1906;11;1712,632;2;24,96412;121,5167;28,8
242;01/03/1906;13,7;250,631;7;24,96606;121,54297;41,4
243;02/03/1906;2;2077,39;3;24,96357;121,51329;33,4
244;03/03/1906;32,8;204,1705;8;24,98236;121,53923;48,2
245;04/03/1906;4,8;1559,827;3;24,97213;121,51627;21,7
246;05/03/1906;7,5;639,6198;5;24,97258;121,54814;40,8
247;06/03/1906;16,4;389,8219;6;24,96412;121,54273;40,6
248;07/03/1906;21,7;1055,067;0;24,96211;121,54928;23,1
249;08/03/1906;19;1009,235;0;24,96357;121,54951;22,3
250;09/03/1906;18;6306,153;1;24,95743;121,47516;15
251;10/03/1906;39,2;424,7132;7;24,97429;121,53917;30
252;11/03/1906;31,7;1159,454;0;24,9496;121,53018;13,8
253;12/03/1906;5,9;90,45606;9;24,97433;121,5431;52,7
254;13/03/1906;30,4;1735,595;2;24,96464;121,51623;25,9
255;14/03/1906;1,1;329,9747;5;24,98254;121,54395;51,8
256;15/03/1906;31,5;5512,038;1;24,95095;121,48458;17,4
257;16/03/1906;14,6;339,2289;1;24,97519;121,53151;26,5
258;17/03/1906;17,3;444,1334;1;24,97501;121,5273;43,9
259;18/03/1906;0;292,9978;6;24,97744;121,54458;63,3
260;19/03/1906;17,7;837,7233;0;24,96334;121,54767;28,8
261;20/03/1906;17;1485,097;4;24,97073;121,517;30,7
262;21/03/1906;16,2;2288,011;3;24,95885;121,51359;24,4
263;22/03/1906;15,9;289,3248;5;24,98203;121,54348;53
264;23/03/1906;3,9;2147,376;3;24,96299;121,51284;31,7
265;24/03/1906;32,6;493,657;7;24,96968;121,54522;40,6
266;25/03/1906;15,7;815,9314;4;24,97886;121,53464;38,1
267;26/03/1906;17,8;1783,18;3;24,96731;121,51486;23,7
268;27/03/1906;34,7;482,7581;5;24,97433;121,53863;41,1
269;28/03/1906;17,2;390,5684;5;24,97937;121,54245;40,1
270;29/03/1906;17,6;837,7233;0;24,96334;121,54767;23
271;30/03/1906;10,8;252,5822;1;24,9746;121,53046;117,5
272;31/03/1906;17,7;451,6419;8;24,96945;121,5449;26,5
273;01/04/1906;13;492,2313;5;24,96515;121,53737;40,5
274;02/04/1906;13,2;170,1289;1;24,97371;121,52984;29,3
275;03/04/1906;27,5;394,0173;7;24,97305;121,53994;41
276;04/04/1906;1,5;23,38284;7;24,96772;121,54102;49,7
277;05/04/1906;19,1;461,1016;5;24,95425;121,5399;34
278;06/04/1906;21,2;2185,128;3;24,96322;121,51237;27,7
279;07/04/1906;0;208,3905;6;24,95618;121,53844;44
280;08/04/1906;2,6;1554,25;3;24,97026;121,51642;31,1
281;09/04/1906;2,3;184,3302;6;24,96581;121,54086;45,4
282;10/04/1906;4,7;387,7721;9;24,98118;121,53788;44,8
283;11/04/1906;2;1455,798;1;24,9512;121,549;25,6
284;12/04/1906;33,5;1978,671;2;24,98674;121,51844;23,5
285;13/04/1906;15;383,2805;7;24,96735;121,54464;34,4
286;14/04/1906;30,1;718,2937;3;24,97509;121,53644;55,3
287;15/04/1906;5,9;90,45606;9;24,97433;121,5431;56,3
288;16/04/1906;19,2;461,1016;5;24,95425;121,5399;32,9
289;17/04/1906;16,6;323,6912;6;24,97841;121,5428;51
290;18/04/1906;13,9;289,3248;5;24,98203;121,54348;44,5
291;19/04/1906;37,7;490,3446;0;24,97217;121,53471;37
292;20/04/1906;3,4;56,47425;7;24,95744;121,53711;54,4
293;21/04/1906;17,5;395,6747;5;24,95674;121,534;24,5
294;22/04/1906;12,6;383,2805;7;24,96735;121,54464;42,5
295;23/04/1906;26,4;335,5273;6;24,9796;121,5414;38,1
296;24/04/1906;18,2;2179,59;3;24,96299;121,51252;21,8
297;25/04/1906;12,5;1144,436;4;24,99176;121,53456;34,1
298;26/04/1906;34,9;567,0349;4;24,97003;121,5458;28,5
299;27/04/1906;16,7;4082,015;0;24,94155;121,50381;16,7
300;28/04/1906;33,2;121,7262;10;24,98178;121,54059;46,1
301;29/04/1906;2,5;156,2442;4;24,96696;121,53992;36,9
302;30/04/1906;38;461,7848;0;24,97229;121,53445;35,7
303;01/05/1906;16,5;2288,011;3;24,95885;121,51359;23,2
304;02/05/1906;38,3;439,7105;0;24,97161;121,53423;38,4
305;03/05/1906;20;1626,083;3;24,96622;121,51668;29,4
306;04/05/1906;16,2;289,3248;5;24,98203;121,54348;55
307;05/05/1906;14,4;169,9803;1;24,97369;121,52979;50,2
308;06/05/1906;10,3;3079,89;0;24,9546;121,56627;24,7
309;07/05/1906;16,4;289,3248;5;24,98203;121,54348;53
310;08/05/1906;30,3;1264,73;0;24,94883;121,52954;19,1
311;09/05/1906;16,4;1643,499;2;24,95394;121,55174;24,7
312;10/05/1906;21,3;537,7971;4;24,97425;121,53814;42,2
313;11/05/1906;35,4;318,5292;9;24,97071;121,54069;78
314;12/05/1906;8,3;104,8101;5;24,96674;121,54067;42,8
315;13/05/1906;3,7;577,9615;6;24,97201;121,54722;41,6
316;14/05/1906;15,6;1756,411;2;24,9832;121,51812;27,3
317;15/05/1906;13,3;250,631;7;24,96606;121,54297;42
318;16/05/1906;15,6;752,7669;2;24,97795;121,53451;37,5
319;17/05/1906;7,1;379,5575;10;24,98343;121,53762;49,8
320;18/05/1906;34,6;272,6783;5;24,95562;121,53872;26,9
321;19/05/1906;13,5;4197,349;0;24,93885;121,50383;18,6
322;20/05/1906;16,9;964,7496;4;24,98872;121,53411;37,7
323;21/05/1906;12,9;187,4823;1;24,97388;121,52981;33,1
324;22/05/1906;28,6;197,1338;6;24,97631;121,54436;42,5
325;23/05/1906;12,4;1712,632;2;24,96412;121,5167;31,3
326;24/05/1906;36,6;488,8193;8;24,97015;121,54494;38,1
327;25/05/1906;4,1;56,47425;7;24,95744;121,53711;62,1
328;26/05/1906;3,5;757,3377;3;24,97538;121,54971;36,7
329;27/05/1906;15,9;1497,713;3;24,97003;121,51696;23,6
330;28/05/1906;13,6;4197,349;0;24,93885;121,50383;19,2
331;29/05/1906;32;1156,777;0;24,94935;121,53046;12,8
332;30/05/1906;25,6;4519,69;0;24,94826;121,49587;15,6
333;31/05/1906;39,8;617,7134;2;24,97577;121,53475;39,6
334;01/06/1906;7,8;104,8101;5;24,96674;121,54067;38,4
335;02/06/1906;30;1013,341;5;24,99006;121,5346;22,8
336;03/06/1906;27,3;337,6016;6;24,96431;121,54063;36,5
337;04/06/1906;5,1;1867,233;2;24,98407;121,51748;35,6
338;05/06/1906;31,3;600,8604;5;24,96871;121,54651;30,9
339;06/06/1906;31,5;258,186;9;24,96867;121,54331;36,3
340;07/06/1906;1,7;329,9747;5;24,98254;121,54395;50,4
341;08/06/1906;33,6;270,8895;0;24,97281;121,53265;42,9
342;09/06/1906;13;750,0704;2;24,97371;121,54951;37
343;10/06/1906;5,7;90,45606;9;24,97433;121,5431;53,5
344;11/06/1906;33,5;563,2854;8;24,98223;121,53597;46,6
345;12/06/1906;34,6;3085,17;0;24,998;121,5155;41,2
346;13/06/1906;0;185,4296;0;24,9711;121,5317;37,9
347;14/06/1906;13,2;1712,632;2;24,96412;121,5167;30,8
348;15/06/1906;17,4;6488,021;1;24,95719;121,47353;11,2
349;16/06/1906;4,6;259,6607;6;24,97585;121,54516;53,7
350;17/06/1906;7,8;104,8101;5;24,96674;121,54067;47
351;18/06/1906;13,2;492,2313;5;24,96515;121,53737;42,3
352;19/06/1906;4;2180,245;3;24,96324;121,51241;28,6
353;20/06/1906;18,4;2674,961;3;24,96143;121,50827;25,7
354;21/06/1906;4,1;2147,376;3;24,96299;121,51284;31,3
355;22/06/1906;12,2;1360,139;1;24,95204;121,54842;30,1
356;23/06/1906;3,8;383,8624;5;24,98085;121,54391;60,7
357;24/06/1906;10,3;211,4473;1;24,97417;121,52999;45,3
358;25/06/1906;0;338,9679;9;24,96853;121,54413;44,9
359;26/06/1906;1,1;193,5845;6;24,96571;121,54089;45,1
360;27/06/1906;5,6;2408,993;0;24,95505;121,55964;24,7
361;28/06/1906;32,9;87,30222;10;24,983;121,54022;47,1
362;29/06/1906;41,4;281,205;8;24,97345;121,54093;63,3
363;30/06/1906;17,1;967,4;4;24,98872;121,53408;40
364;01/07/1906;32,3;109,9455;10;24,98182;121,54086;48
365;02/07/1906;35,3;614,1394;7;24,97913;121,53666;33,1
366;03/07/1906;17,3;2261,432;4;24,96182;121,51222;29,5
367;04/07/1906;14,2;1801,544;1;24,95153;121,55254;24,8
368;05/07/1906;15;1828,319;2;24,96464;121,51531;20,9
369;06/07/1906;18,2;350,8515;1;24,97544;121,53119;43,1
370;07/07/1906;20,2;2185,128;3;24,96322;121,51237;22,8
371;08/07/1906;15,9;289,3248;5;24,98203;121,54348;42,1
372;09/07/1906;4,1;312,8963;5;24,95591;121,53956;51,7
373;10/07/1906;33,9;157,6052;7;24,96628;121,54196;41,5
374;11/07/1906;0;274,0144;1;24,9748;121,53059;52,2
375;12/07/1906;5,4;390,5684;5;24,97937;121,54245;49,5
376;13/07/1906;21,7;1157,988;0;24,96165;121,55011;23,8
377;14/07/1906;14,7;1717,193;2;24,96447;121,51649;30,5
378;15/07/1906;3,9;49,66105;8;24,95836;121,53756;56,8
379;16/07/1906;37,3;587,8877;8;24,97077;121,54634;37,4
380;17/07/1906;0;292,9978;6;24,97744;121,54458;69,7
381;18/07/1906;14,1;289,3248;5;24,98203;121,54348;53,3
382;19/07/1906;8;132,5469;9;24,98298;121,53981;47,3
383;20/07/1906;16,3;3529,564;0;24,93207;121,51597;29,3
384;21/07/1906;29,1;506,1144;4;24,97845;121,53889;40,3
385;22/07/1906;16,1;4066,587;0;24,94297;121,50342;12,9
386;23/07/1906;18,3;82,88643;10;24,983;121,54026;46,6
387;24/07/1906;0;185,4296;0;24,9711;121,5317;55,3
388;25/07/1906;16,2;2103,555;3;24,96042;121,51462;25,6
389;26/07/1906;10,4;2251,938;4;24,95957;121,51353;27,3
390;27/07/1906;40,9;122,3619;8;24,96756;121,5423;67,7
391;28/07/1906;32,8;377,8302;9;24,97151;121,5435;38,6
392;29/07/1906;6,2;1939,749;1;24,95155;121,55387;31,3
393;30/07/1906;42,7;443,802;6;24,97927;121,53874;35,3
394;31/07/1906;16,9;967,4;4;24,98872;121,53408;40,3
395;01/08/1906;32,6;4136,271;1;24,95544;121,4963;24,7
396;02/08/1906;21,2;512,5487;4;24,974;121,53842;42,5
397;03/08/1906;37,1;918,6357;1;24,97198;121,55063;31,9
398;04/08/1906;13,1;1164,838;4;24,99156;121,53406;32,2
399;05/08/1906;14,7;1717,193;2;24,96447;121,51649;23
400;06/08/1906;12,7;170,1289;1;24,97371;121,52984;37,3
401;07/08/1906;26,8;482,7581;5;24,97433;121,53863;35,5
402;08/08/1906;7,6;2175,03;3;24,96305;121,51254;27,7
403;09/08/1906;12,7;187,4823;1;24,97388;121,52981;28,5
404;10/08/1906;30,9;161,942;9;24,98353;121,53966;39,7
405;11/08/1906;16,4;289,3248;5;24,98203;121,54348;41,2
406;12/08/1906;23;130,9945;6;24,95663;121,53765;37,2
407;13/08/1906;1,9;372,1386;7;24,97293;121,54026;40,5
408;14/08/1906;5,2;2408,993;0;24,95505;121,55964;22,3
409;15/08/1906;18,5;2175,744;3;24,9633;121,51243;28,1
410;16/08/1906;13,7;4082,015;0;24,94155;121,50381;15,4
411;17/08/1906;5,6;90,45606;9;24,97433;121,5431;50
412;18/08/1906;18,8;390,9696;7;24,97923;121,53986;40,6
413;19/08/1906;8,1;104,8101;5;24,96674;121,54067;52,5
414;20/08/1906;6,5;90,45606;9;24,97433;121,5431;63,9
